"q","calibration","subgroup","metric","repetitions_recorded","repetitions_finite","median","p10","p90","full_30_repetitions"
0.3,"intercept","free_lunch_2","width_ratio",1,1,1.01449476345996,1.01449476345996,1.01449476345996,FALSE
0.3,"intercept","free_lunch_Missing","width_ratio",1,1,1.02894196122263,1.02894196122263,1.02894196122263,FALSE
0.3,"lasso","free_lunch_1","width_ratio",1,1,0.91798355645643,0.91798355645643,0.91798355645643,FALSE
0.3,"lasso","free_lunch_2","width_ratio",1,1,0.990190425946897,0.990190425946897,0.990190425946897,FALSE
0.3,"lasso","free_lunch_Missing","width_ratio",1,1,0.99264913437621,0.99264913437621,0.99264913437621,FALSE
0.3,"ridge","free_lunch_1","width_ratio",1,1,0.96746820362596,0.96746820362596,0.96746820362596,FALSE
0.3,"ridge","free_lunch_2","width_ratio",1,1,0.976600158647962,0.976600158647962,0.976600158647962,FALSE
0.3,"ridge","free_lunch_Missing","width_ratio",1,1,0.963345108029208,0.963345108029208,0.963345108029208,FALSE
0.4,"intercept","free_lunch_1","width_ratio",1,1,1.58327383270071,1.58327383270071,1.58327383270071,FALSE
0.4,"intercept","free_lunch_2","width_ratio",1,1,1.1250854369513,1.1250854369513,1.1250854369513,FALSE
0.4,"intercept","free_lunch_Missing","width_ratio",1,1,1.15139323358231,1.15139323358231,1.15139323358231,FALSE
0.4,"lasso","free_lunch_1","width_ratio",1,1,0.991321396795697,0.991321396795697,0.991321396795697,FALSE
0.4,"lasso","free_lunch_2","width_ratio",1,1,0.960932719371187,0.960932719371187,0.960932719371187,FALSE
0.4,"lasso","free_lunch_Missing","width_ratio",1,1,0.957420583710875,0.957420583710875,0.957420583710875,FALSE
0.4,"ridge","free_lunch_1","width_ratio",1,1,0.991197501797516,0.991197501797516,0.991197501797516,FALSE
0.4,"ridge","free_lunch_2","width_ratio",1,1,0.970870590547122,0.970870590547122,0.970870590547122,FALSE
0.4,"ridge","free_lunch_Missing","width_ratio",1,1,0.976330388275968,0.976330388275968,0.976330388275968,FALSE
0.5,"intercept","free_lunch_1","width_ratio",1,1,1.21012331496032,1.21012331496032,1.21012331496032,FALSE
0.5,"intercept","free_lunch_2","width_ratio",1,1,1.12316884746486,1.12316884746486,1.12316884746486,FALSE
0.5,"intercept","free_lunch_Missing","width_ratio",1,1,1.07621374509443,1.07621374509443,1.07621374509443,FALSE
0.5,"lasso","free_lunch_1","width_ratio",1,1,0.956743166387231,0.956743166387231,0.956743166387231,FALSE
0.5,"lasso","free_lunch_2","width_ratio",1,1,0.990926185983238,0.990926185983238,0.990926185983238,FALSE
0.5,"lasso","free_lunch_Missing","width_ratio",1,1,0.97947843293645,0.97947843293645,0.97947843293645,FALSE
0.5,"ridge","free_lunch_1","width_ratio",1,1,0.978882627143168,0.978882627143168,0.978882627143168,FALSE
0.5,"ridge","free_lunch_2","width_ratio",1,1,0.990688640244555,0.990688640244555,0.990688640244555,FALSE
0.5,"ridge","free_lunch_Missing","width_ratio",1,1,0.992799101617631,0.992799101617631,0.992799101617631,FALSE
